product_id,product_name,category,subcategory,unit_price,tax_rate_pct,brand,status
P0075,Beverages Product 075,Grocery,Beverages,3960.05,5.62,FreshMart,ACTIVE
P0076,Beverages Product 076,Grocery,Beverages,151.73,8.45,Apex,ACTIVE
P0077,Audio Product 077,Electronics,Audio,3312.8,11.06,HomePro,ACTIVE
P0078,Mobile Product 078,Electronics,Mobile,4040.32,16.5,UrbanX,ACTIVE
P0079,Mobile Product 079,Electronics,Mobile,1183.54,3.24,UrbanX,ACTIVE
P0080,Mobile Product 080,Electronics,Mobile,1260.36,3.36,StyleHub,ACTIVE
P0081,Skincare Product 081,Beauty,Skincare,3206.05,3.34,UrbanX,ACTIVE
P0082,Menswear Product 082,Fashion,Menswear,4069.93,0.92,StyleHub,ACTIVE
P0083,Menswear Product 083,Fashion,Menswear,1117.91,11.03,Prime,ACTIVE
P0084,Audio Product 084,Electronics,Audio,2460.58,5.65,StyleHub,ACTIVE
P0085,Kitchen Product 085,Home,Kitchen,172.34,0.36,Prime,ACTIVE
P0086,Menswear Product 086,Fashion,Menswear,3524.89,2.27,HomePro,ACTIVE
P0087,Haircare Product 087,Beauty,Haircare,3087.17,9.13,UrbanX,ACTIVE
P0088,Laptop Product 088,Electronics,Laptop,2012.99,6.52,HomePro,ACTIVE
P0089,Kitchen Product 089,Home,Kitchen,4632.23,9.21,StyleHub,ACTIVE
P0090,Decor Product 090,Home,Decor,1799.66,6.47,FreshMart,ACTIVE
P0091,Snacks Product 091,Grocery,Snacks,2721.87,3.1,HomePro,ACTIVE
P0092,Womenswear Product 092,Fashion,Womenswear,2908.81,6.45,UrbanX,ACTIVE
P0093,Furniture Product 093,Home,Furniture,3608.33,15.02,UrbanX,ACTIVE
P0094,Personal Care Product 094,Beauty,Personal Care,70.53,5.39,StyleHub,ACTIVE
P0095,Laptop Product 095,Electronics,Laptop,907.93,11.33,StyleHub,ACTIVE
P0096,Kitchen Product 096,Home,Kitchen,1101.44,0.96,Apex,ACTIVE
P0097,Laptop Product 097,Electronics,Laptop,2695.48,8.7,Nova,ACTIVE
P0098,Beverages Product 098,Grocery,Beverages,3369.38,14.06,Nova,ACTIVE
P0099,Snacks Product 099,Grocery,Snacks,2140.75,16.26,StyleHub,ACTIVE
P0100,Footwear Product 100,Fashion,Footwear,287.51,15.04,FreshMart,ACTIVE
P0101,Haircare Product 101,Beauty,Haircare,1048.75,16.72,Apex,ACTIVE
P0102,Skincare Product 102,Beauty,Skincare,3025.52,11.55,HomePro,ACTIVE
P0103,Womenswear Product 103,Fashion,Womenswear,419.04,10.53,HomePro,ACTIVE
P0104,Footwear Product 104,Fashion,Footwear,1931.99,13.49,StyleHub,ACTIVE
P0105,Kitchen Product 105,Home,Kitchen,1768.29,6.6,Apex,ACTIVE
P0106,Haircare Product 106,Beauty,Haircare,574.55,15.82,FreshMart,ACTIVE
P0107,Snacks Product 107,Grocery,Snacks,2563.71,13.02,Nova,ACTIVE
P0108,Furniture Product 108,Home,Furniture,3807.03,13.31,FreshMart,ACTIVE
P0109,Mobile Product 109,Electronics,Mobile,3510.24,13.69,HomePro,ACTIVE
P0110,Staples Product 110,Grocery,Staples,1906.3,2.02,StyleHub,ACTIVE
P0111,Womenswear Product 111,Fashion,Womenswear,1105.87,1.18,Nova,ACTIVE
P0112,Decor Product 112,Home,Decor,3403.41,3.78,Apex,ACTIVE
P0113,Skincare Product 113,Beauty,Skincare,1258.14,13.19,Prime,ACTIVE
P0114,Laptop Product 114,Electronics,Laptop,1546.24,15.67,Nova,ACTIVE
P0115,Womenswear Product 115,Fashion,Womenswear,583.4,4.24,HomePro,ACTIVE
P0116,Skincare Product 116,Beauty,Skincare,2669.87,7.98,Prime,ACTIVE
P0117,Decor Product 117,Home,Decor,214.89,4.08,Nova,ACTIVE
P0118,Mobile Product 118,Electronics,Mobile,2084.47,8.04,StyleHub,ACTIVE
P0119,Staples Product 119,Grocery,Staples,275.41,5.8,Prime,ACTIVE
P0120,Skincare Product 120,Beauty,Skincare,727.51,14.21,StyleHub,ACTIVE
P0121,Snacks Product 121,Grocery,Snacks,1958.47,5.93,Apex,ACTIVE
P0122,Womenswear Product 122,Fashion,Womenswear,2201.38,15.13,Apex,ACTIVE
P0123,Audio Product 123,Electronics,Audio,157.56,5.88,Apex,ACTIVE
P0124,Snacks Product 124,Grocery,Snacks,948.34,4.51,StyleHub,ACTIVE
P0125,Snacks Product 125,Grocery,Snacks,4299.3,9.79,Prime,ACTIVE
P0126,Beverages Product 126,Grocery,Beverages,4441.93,5.04,Prime,ACTIVE
P0127,Beverages Product 127,Grocery,Beverages,1577.02,5.25,Prime,ACTIVE
P0128,Womenswear Product 128,Fashion,Womenswear,563.0,13.39,FreshMart,ACTIVE
P0129,Womenswear Product 129,Fashion,Womenswear,1054.77,1.48,UrbanX,ACTIVE
P0130,Womenswear Product 130,Fashion,Womenswear,4181.24,7.47,HomePro,ACTIVE
P0131,Decor Product 131,Home,Decor,3416.84,4.64,HomePro,ACTIVE
P0132,Haircare Product 132,Beauty,Haircare,2604.72,5.21,FreshMart,ACTIVE
P0133,Skincare Product 133,Beauty,Skincare,4194.26,3.61,HomePro,ACTIVE
P0134,Skincare Product 134,Beauty,Skincare,2256.54,3.39,UrbanX,ACTIVE
P0135,Laptop Product 135,Electronics,Laptop,3379.02,3.43,StyleHub,ACTIVE
P0136,Kitchen Product 136,Home,Kitchen,3602.67,13.21,Prime,ACTIVE
P0137,Laptop Product 137,Electronics,Laptop,1871.78,11.67,Nova,ACTIVE
P0138,Kitchen Product 138,Home,Kitchen,415.64,15.98,Apex,ACTIVE
P0139,Beverages Product 139,Grocery,Beverages,1236.42,1.51,Prime,ACTIVE
P0140,Womenswear Product 140,Fashion,Womenswear,3838.05,11.71,StyleHub,ACTIVE
P0141,Womenswear Product 141,Fashion,Womenswear,4525.12,13.25,UrbanX,ACTIVE
P0142,Decor Product 142,Home,Decor,1254.27,13.12,Prime,ACTIVE
P0143,Footwear Product 143,Fashion,Footwear,2800.42,6.2,Prime,ACTIVE
P0144,Laptop Product 144,Electronics,Laptop,4187.39,9.87,StyleHub,ACTIVE
P0145,Footwear Product 145,Fashion,Footwear,4553.45,3.87,UrbanX,ACTIVE
P0146,Furniture Product 146,Home,Furniture,2974.3,10.04,StyleHub,ACTIVE
P0147,Personal Care Product 147,Beauty,Personal Care,3943.78,10.04,HomePro,ACTIVE
P0148,Decor Product 148,Home,Decor,4337.99,11.83,FreshMart,ACTIVE
P0149,Snacks Product 149,Grocery,Snacks,1171.22,3.01,HomePro,ACTIVE
P0150,Furniture Product 150,Home,Furniture,2303.35,4.29,Nova,ACTIVE
