inventory_id,store_id,product_id,inventory_date,available_qty,reorder_level,safety_stock
INV202609140048,S011,P0048,2026-09-14,444,67,18
INV202609140049,S026,P0049,2026-09-14,73,83,49
INV202609140050,S003,P0050,2026-09-14,424,42,41
INV202609140051,S007,P0051,2026-09-14,325,30,29
INV202609140052,S020,P0052,2026-09-14,61,74,56
INV202609140053,S030,P0053,2026-09-14,174,70,36
INV202609140054,S009,P0054,2026-09-14,228,28,12
INV202609140055,S017,P0055,2026-09-14,127,48,42
INV202609140056,S028,P0056,2026-09-14,423,55,33
INV202609140057,S016,P0057,2026-09-14,253,86,38
INV202609140058,S004,P0058,2026-09-14,458,50,10
INV202609140059,S023,P0059,2026-09-14,393,31,18
INV202609140060,S015,P0060,2026-09-14,243,39,19
INV202609140061,S006,P0061,2026-09-14,183,79,38
INV202609140062,S001,P0062,2026-09-14,435,86,57
INV202609140063,S004,P0063,2026-09-14,360,82,25
INV202609140064,S028,P0064,2026-09-14,267,28,21
INV202609140065,S025,P0065,2026-09-14,220,83,56
INV202609140066,S012,P0066,2026-09-14,175,56,35
INV202609140067,S002,P0067,2026-09-14,326,63,23
INV202609140068,S004,P0068,2026-09-14,112,77,50
INV202609140069,S003,P0069,2026-09-14,372,62,36
INV202609140070,S015,P0070,2026-09-14,191,28,20
INV202609140071,S007,P0071,2026-09-14,379,77,36
INV202609140072,S002,P0072,2026-09-14,416,80,59
INV202609140073,S012,P0073,2026-09-14,282,33,29
INV202609140074,S004,P0074,2026-09-14,199,92,79
INV202609140075,S018,P0075,2026-09-14,403,62,15
INV202609140076,S001,P0076,2026-09-14,25,25,19
INV202609140077,S025,P0077,2026-09-14,272,30,21
INV202609140078,S017,P0078,2026-09-14,64,69,54
INV202609140079,S005,P0079,2026-09-14,495,42,40
INV202609140080,S004,P0080,2026-09-14,106,26,23
INV202609140081,S025,P0081,2026-09-14,362,49,22
INV202609140082,S003,P0082,2026-09-14,50,80,15
INV202609140083,S002,P0083,2026-09-14,292,44,26
INV202609140084,S004,P0084,2026-09-14,106,72,11
INV202609140085,S028,P0085,2026-09-14,307,44,32
INV202609140086,S028,P0086,2026-09-14,350,92,41
INV202609140087,S021,P0087,2026-09-14,118,27,20
INV202609140088,S028,P0088,2026-09-14,76,37,26
INV202609140089,S030,P0089,2026-09-14,441,81,75
INV202609140090,S006,P0090,2026-09-14,375,57,14
INV202609140091,S003,P0091,2026-09-14,313,36,21
INV202609140092,S029,P0092,2026-09-14,91,30,13
INV202609140093,S004,P0093,2026-09-14,12,68,47
INV202609140094,S025,P0094,2026-09-14,81,54,14
INV202609140095,S022,P0095,2026-09-14,15,20,12
INV202609140096,S012,P0096,2026-09-14,357,50,20
INV202609140097,S019,P0097,2026-09-14,237,79,15
INV202609140098,S014,P0098,2026-09-14,268,34,23
INV202609140099,S005,P0099,2026-09-14,39,100,15
INV202609140100,S004,P0100,2026-09-14,299,35,20
INV202609140101,S015,P0101,2026-09-14,1,45,29
INV202609140102,S011,P0102,2026-09-14,61,62,23
INV202609140103,S020,P0103,2026-09-14,350,35,26
INV202609140104,S005,P0104,2026-09-14,223,41,26
INV202609140105,S028,P0105,2026-09-14,492,43,16
INV202609140106,S029,P0106,2026-09-14,190,25,19
INV202609140107,S023,P0107,2026-09-14,364,44,23
INV202609140108,S020,P0108,2026-09-14,157,32,16
INV202609140109,S027,P0109,2026-09-14,362,44,42
INV202609140110,S021,P0110,2026-09-14,75,94,86
INV202609140111,S012,P0111,2026-09-14,60,82,30
INV202609140112,S013,P0112,2026-09-14,171,94,13
INV202609140113,S025,P0113,2026-09-14,168,74,20
INV202609140114,S014,P0114,2026-09-14,75,50,44
INV202609140115,S010,P0115,2026-09-14,336,98,47
INV202609140116,S020,P0116,2026-09-14,37,54,28
INV202609140117,S006,P0117,2026-09-14,190,74,74
INV202609140118,S002,P0118,2026-09-14,141,72,21
INV202609140119,S029,P0119,2026-09-14,408,74,31
INV202609140120,S009,P0120,2026-09-14,252,71,32
INV202609140121,S017,P0121,2026-09-14,272,23,17
INV202609140122,S003,P0122,2026-09-14,488,93,89
INV202609140123,S013,P0123,2026-09-14,311,51,29
INV202609140124,S018,P0124,2026-09-14,402,60,57
INV202609140125,S002,P0125,2026-09-14,140,56,42
INV202609140126,S015,P0126,2026-09-14,84,67,16
INV202609140127,S018,P0127,2026-09-14,103,43,23
INV202609140128,S004,P0128,2026-09-14,154,100,83
INV202609140129,S001,P0129,2026-09-14,146,31,18
INV202609140130,S016,P0130,2026-09-14,2,65,61
INV202609140131,S015,P0131,2026-09-14,462,35,12
INV202609140132,S024,P0132,2026-09-14,34,53,41
INV202609140133,S008,P0133,2026-09-14,151,24,21
INV202609140134,S024,P0134,2026-09-14,236,85,43
INV202609140135,S016,P0135,2026-09-14,140,23,21
INV202609140136,S023,P0136,2026-09-14,349,64,33
INV202609140137,S020,P0137,2026-09-14,488,48,41
INV202609140138,S024,P0138,2026-09-14,81,49,30
INV202609140139,S027,P0139,2026-09-14,500,63,62
INV202609140140,S019,P0140,2026-09-14,249,33,23
INV202609140141,S030,P0141,2026-09-14,466,43,22
INV202609140142,S002,P0142,2026-09-14,498,60,23
INV202609140143,S020,P0143,2026-09-14,327,34,10
INV202609140144,S023,P0144,2026-09-14,51,62,58
INV202609140145,S022,P0145,2026-09-14,220,81,26
INV202609140146,S015,P0146,2026-09-14,171,99,61
INV202609140147,S008,P0147,2026-09-14,409,84,64
INV202609140148,S028,P0148,2026-09-14,380,28,23
INV202609140149,S002,P0149,2026-09-14,83,43,17
INV202609140150,S010,P0150,2026-09-14,79,66,58
